"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed","approved_fr","decision","reviewer_notes"
"Dr Deming",,,387,"prose","You know that in 1985 I initially thought of Dr Deming as a statistician and a fine mathematician. Of course, I soon found out that he was much more than either | I venture to suggest that if just this one message coming from Dr Deming’s teaching were generally understood and appreciated then this world would be a better  | - I changed my mind for two reasons. The first is that eventually I had two excellent and patient teachers: Dr Deming and Dr Don Wheeler. Secondly, I found in p",TRUE,,,
"control limits",,,282,"prose","In the “Springboard” article just mentioned on , as indeed in much of my other writing, I have largely followed the guidance of Dr Donald J Wheeler by using som | - A very long while ago, I used to teach control-charting the “conventional” way, i.e. trying to interpret control limits in terms of probabilities, saying that | What do we see? All the data are contained between the Lower and Upper Control Limits (LCL and UCL). Even Ernie’s 3, just after the forthcoming performance appr",TRUE,,,
"funnel","expérience de l'entonnoir","Établi: Minitab FR, ""Démonstration de l'expérience de l'entonnoir de Deming"", https://support.minitab.com/fr-fr/minitab/macro-library/macro-files/educational-macros/funnel/ — ""L'entonnoir représente le système des causes communes""; J.-M. Gogue (AFED) emploie aussi ""l'expérience de l'entonnoir""",271,"prose|ui","As mentioned near the end of the “Welcome” section, this is the reference list of preparatory tasks recommended for you to carry out between the different days  | **Before Day 3.** The more important task here is to prepare for the Funnel Experiment: see [Day 2 pages 43–44](../days/day-02/09-postscript.qmd#sec-page43) and | This is a very common phenomenon (no pun intended!). Even when people get to understand the concept of common-cause variation, they almost always hopelessly und",FALSE,"expérience de l'entonnoir","translate",
"control chart",,,230,"prose","In the “Springboard” article just mentioned on , as indeed in much of my other writing, I have largely followed the guidance of Dr Donald J Wheeler by using som | In extract from *EST* on , I referred to the control chart (process behaviour chart) as being “a remarkable statistical technique which, to all intents and purp | But now let us return to the first paradox summarised on : the apparently strange matter of neither the all-important tool of the control chart nor its creator,",TRUE,,,
"control charts",,,217,"prose","In the “Springboard” article just mentioned on , as indeed in much of my other writing, I have largely followed the guidance of Dr Donald J Wheeler by using som | Another great value of Don’s work is that, whereas it used to be the case that control charts were generally considered to require small *samples* of data to be | In extract from *EST* on , I referred to the control chart (process behaviour chart) as being “a remarkable statistical technique which, to all intents and purp",TRUE,,,
"in-statistical-control","sous contrôle statistique","Établi dans la littérature francophone (Western Electric, ""Manuel du contrôle statistique de la qualité"", https://www.fr-deming.org/WECSQ.pdf; Shewhart trad. fr. ""Les fondements de la maîtrise de la qualité"", Economica, 1989). Variante: ""maîtrise statistique""",210,"prose|ui","In our context, and with our special interest in processes being in, or at least heading toward, statistical control, we might try to narrow the breadth of the  | > “Some of the earliest attempts to characterise a state of statistical control were inspired by the belief that there existed a special form of frequency funct | He was talking about the two obvious kinds of mistakes that can be made when analysing process data: i.e. concluding that a process is in statistical control wh",FALSE,"sous contrôle statistique","translate",
"red-beads","expérience des billes rouges","J.-M. Gogue, ""L'expérience des billes rouges"", Association Française Edwards Deming, https://www.fr-deming.org/Billesrouges.pdf — ""L'expérience des billes rouges est un atelier conçu par William Edwards Deming""",185,"prose","In extract from *EST* on [Day 1 page 6](../days/day-01/02-rediscovered.qmd#sec-page6), I referred to the control chart (process behaviour chart) as being “a rem | title: ""DAY 2 — RED BEADS, CONTROL LIMITS & DAVE KERR’S WRAP-UP"" | *(Return to [Day 2 page 7](../days/day-02/02-intro-to-the-red-beads-experiment.qmd#sec-page7) or continue on [Day 2 page 8](../days/day-02/02-intro-to-the-red-b",FALSE,"expérience des billes rouges","translate",
"system-of-profound-knowledge","Système de la Connaissance Approfondie","W. E. Deming, ""La connaissance approfondie"" (conf. Versailles, 6 juillet 1989), trad. Association Française Edwards Deming, https://www.fr-deming.org/WED_Versailles89.pdf — ""ce que je nomme la connaissance approfondie""",173,"prose|ui","I’ll prepare the ground by quoting *verbatim* from a magnificent presentation that Deming gave to an audience at the Palace of Versailles, France in 1989, trans | And, having got that far, we may as well complete the job! As we know, a large part of the ""Scientific Approach"" is based on the understanding of Shewhart's fou | But, since the links with the Joiner Triangle are not quite so all-embracing here as in the first two parts of the System of Profound Knowledge, I'll now make s",FALSE,"Système de la Connaissance Approfondie","translate",
"Dr Deming's",,,165,"prose","Since there is considerable discussion on the Funnel Experiment in *DemDim* Chapter 5 and also in both *Out of the Crisis* (pages 280–284 [327–332]) and *The Ne | This is leadership aimed at doing everything possible to genuinely improve the quality of what an organisation does and how it does it—as opposed to such preval | First, whereas training is very focused, ""education"" implies breadth—learning about other areas—and this often provides inspiration about what could be helpful ",TRUE,,,
"special-cause","causes spéciales","W. E. Deming, ""La connaissance approfondie"" (conf. Versailles, 6 juillet 1989), trad. Association Française Edwards Deming, https://www.fr-deming.org/WED_Versailles89.pdf — ""il provient réellement d'une cause spéciale""",133,"prose","> “So what shall we do? Anyone can set for himself a clean record from this hour henceforth on *one* of the two mistakes. But, if he does, he will achieve the m | Three quick notes here. Firstly, Deming’s use of the terms “common cause” and “special cause” will be described this afternoon. However, if you’d like to check  | This is a very common phenomenon (no pun intended!). Even when people get to understand the concept of common-cause variation, they almost always hopelessly und",FALSE,"causes spéciales","translate",
"Major Activity",,,125,"prose","**Before Day 6.** For some extra pages of printing for your convenience during Day 6’s Major Activity, etc: see . On this page there is also a reminder to prepa | **Before Day 8.** For some extra copies to aid you in Day 8’s Major Activity: see and . | **Before Day 9.** For just a little extra printing, mostly to aid you in Day 9’s Major Activity: see .",TRUE,,,
"fourteen-points","les 14 points de Deming","Association Française Edwards Deming, ""Les 14 Points de Deming"", https://www.fr-deming.org/les14.html (titre exact de la page); issus de Deming, ""Hors de la crise"", trad. J.-M. Gogue, Economica",110,"prose|ui","(1) In the event that you are having difficulties here, I believe that plenty of thoughts will come to you as we work through the 14 Points and the Deadly Disea | Secondly, the more general lesson to learn from the words ""the need for"" in Point 3 is as follows. Although it may be feasible to start work on adopting some of | Too often this is the story. The management of a company, seized with a desire to improve quality and productivity, knowing not how to go about it, having not g",FALSE,"les 14 points de Deming","translate",
"normal distribution",,,109,"prose","So the original readers, like Balaji, of the seventh article were already familiar with the previous six articles—whereas you, of course, are not. Alternatively | A useful start is a sentence from : [""If you are uncomfortable with the use of the concept of 'distribution' … , you can simply think in terms of a histogram ha | !Bell-shaped curve of the normal distribution",TRUE,,,
"seven-deadly-diseases","les sept maladies mortelles","J.-M. Gogue, ""Le management selon Deming"", https://www.fr-deming.org/afed-F60.pdf — ""maladies mortelles qui affectent, selon Deming, la plupart des entreprises""; Deming, ""Hors de la crise"", trad. J.-M. Gogue, Economica",100,"prose|ui","**Before [Day 6](../days/day-06/01-introduction.qmd).** For some extra pages of printing for your convenience during Day 6’s Major Activity, etc: see [Day 5 pag | (1) In the event that you are having difficulties here, I believe that plenty of thoughts will come to you as we work through the 14 Points and the Deadly Disea | Secondly, the more general lesson to learn from the words ""the need for"" in Point 3 is as follows. Although it may be feasible to start work on adopting some of",FALSE,"les sept maladies mortelles","translate",
"Day pages",,,94,"prose","On Days 2 and 3 and during parts of both of the projects, the emphasis was on understanding variation and why that is useful, and the role it plays in the impro | Seeing that you have already drawn the run charts for your Rules 3 and 4 data (Day 3 pages 51 and 55 respectively), in each case preceded by the relevant data), | Before considering the details, it would be useful to take a look at part of the rather famous hand-drawn *X̄-R* chart of which we have already seen something a",TRUE,,,
"each other",,,86,"prose","We also, very significantly, need to understand that *those four needs are **not independent** of each other*: indeed, the *interactions* between them are proba | All One Team means what it says. Many approaches to quality improvement involve formation of teams, maybe lots of them—but, as previously observed (during Point | All One Team includes development of personal relationships, learning to work together, learning to help each other for mutual benefit and the benefit of the co",TRUE,,,
"run chart",,,79,"prose","So and . Thus the control limits at and , confirming the obvious message from the run chart that the process is trending downward. | The run chart for Simulation A's Rule 3 surprised me. I imagine it may also surprise you, assuming you had lots of fun and used games with Rule 3. In other word | Rule 3's behaviour is clearly catastrophic—though did you suspect that such would be the case when (as recalled on the previous page) we may have initially rega",TRUE,,,
"Optional Extras",,,78,"prose","Finally, if and when you decide to venture into the **Optional Extras** but without printing that file, there are just two pages in both Parts A and B which you | Another great value of Don’s work is that, whereas it used to be the case that control charts were generally considered to require small *samples* of data to be | If, either now or subsequently, you wish to obtain more substantial help and guidance on constructing and interpreting control charts than is included in my Spr",TRUE,,,
