kind,source_file,source_line,match_text,target_day,target_page,target_page_end,target_file,anchor_present,decision,notes,context
bare-page,content/appendix/01-day-1.qmd,31,page 12,,12,,content/appendix/02-day-2.qmd,Y,link,,"In our context, and with our special interest in processes being in, or at least heading toward, statistical control, we might try to narrow the breadth of the difficulty by proposing that the term..."
bare-page,content/appendix/01-day-1.qmd,37,pages 3–4,,3,4,content/appendix/01-day-1.qmd,Y,external-work-candidate,external-book candidate (also spans pages 3-4): book-title/author match nearby,"I’ll prepare the ground by quoting *verbatim* from a magnificent presentation that Deming gave to an audience at the Palace of Versailles, France in 1989, transcribed in BDA Booklet A6: *Profound K..."
bare-page,content/appendix/01-day-1.qmd,57,page 277,,277,,,N,anchor-needed,,"In effect, Shewhart was considering the tightness or the looseness of the criterion which should be used as the dividing-line between judging the process to be in statistical control or not of stat..."
bare-page,content/appendix/02-day-2.qmd,160,page 13,,13,,content/appendix/02-day-2.qmd,Y,external-work-candidate,external-book candidate: book-title/author match nearby,"Many years ago the late Dr Myron Tribus, a respected consultant and speaker, took around with him some randomly-generated data, displayed in a format somewhat similar to that used in the Red Beads ..."
bare-page,content/appendix/02-day-2.qmd,170,page 303,,303,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"Practically, surely the most important conclusion of all is that, if improvement is desired (as it should surely be), it is the *system* within which the workers work that must be improved; the wor..."
bare-page,content/appendix/02-day-2.qmd,174,page 303,,303,,,N,external-work-candidate,external-book candidate: book-title/author match nearby,Several further “profound messages” are to be found in the references provided earlier. But I shall content myself here with just one more. And this is (or should be) a particularly scary one for m...
bare-page,content/appendix/02-day-2.qmd,174,pages 351–352,,351,352,,N,external-work-candidate,external-book candidate (also spans pages 351-352): book-title/author match nearby,Several further “profound messages” are to be found in the references provided earlier. But I shall content myself here with just one more. And this is (or should be) a particularly scary one for m...
bare-page,content/appendix/03-day-3.qmd,68,pages 280–284,,280,284,,N,external-work-candidate,external-book candidate (also spans pages 280-284): bracketed alternate-edition page,"Since there is considerable discussion on the Funnel Experiment in *DemDim* Chapter 5 and also in both *Out of the Crisis* (pages 280–284 [327–332]) and *The New Economics* (Chapter 9), there is no..."
bare-page,content/appendix/05-day-5.qmd,37,page 228,,228,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"Fear increases variation in so many obvious ways. People or groups ""doing their own thing"" for personal survival clearly increases variation. Another frequent observation from Dr Deming was: ""… [wh..."
bare-page,content/appendix/05-day-5.qmd,63,page 57,,57,,,N,external-work-candidate,external-book candidate: bracketed alternate-edition page,"One of the slogans Dr Deming cites on *Out of the Crisis* page 57*[66]* is ""Getting Better Together"". He comments: [""… workers have told me that this slogan makes them furious. Together! What is th..."
